SampleID,Project,Location,SiteID,ProfileID,CoverType,Position,MinDepth,MaxDepth,MidDepth,RootMass_mg_gsoil,Horizon,Soil_PercC
HAY-P-EPSCOR-S030,EPSCoR,HAY,Hays KS (EPSCoR),HAY-P,RegenPrairie,NA,15,30,22.5,1.095732852,A,1.13102
HAY-P-EPSCOR-S075,EPSCoR,HAY,Hays KS (EPSCoR),HAY-P,RegenPrairie,NA,30,75,52.5,1.194975625,B,0.57374875
KNZ-A-EPSCOR-S005,EPSCoR,KNZ,Konza (EPSCoR),KNZ-A,Crop,NA,0,5,2.5,0.301674544,A,1.4390575
KNZ-A-EPSCOR-S015,EPSCoR,KNZ,Konza (EPSCoR),KNZ-A,Crop,NA,5,15,10,1.083680388,A,1.307645
KNZ-A-EPSCOR-S030,EPSCoR,KNZ,Konza (EPSCoR),KNZ-A,Crop,NA,15,30,22.5,0.182785831,A,1.3794775
KNZ-A-EPSCOR-S075,EPSCoR,KNZ,Konza (EPSCoR),KNZ-A,Crop,NA,30,75,52.5,0.078334235,B,0.881773
KNZ-A-EPSCOR-S120,EPSCoR,KNZ,Konza (EPSCoR),KNZ-A,Crop,NA,75,120,97.5,0.192048281,B,0.5658545
KNZ-N-EPSCOR-S005,EPSCoR,KNZ,Konza (EPSCoR),KNZ-N,NativePrairie,NA,0,5,2.5,6.53659418,A,3.4667875
KNZ-N-EPSCOR-S015,EPSCoR,KNZ,Konza (EPSCoR),KNZ-N,NativePrairie,NA,5,15,10,15.09040155,A,2.609876667
KNZ-N-EPSCOR-S030,EPSCoR,KNZ,Konza (EPSCoR),KNZ-N,NativePrairie,NA,15,30,22.5,6.66477232,A,1.671646667
KNZ-N-EPSCOR-S075,EPSCoR,KNZ,Konza (EPSCoR),KNZ-N,NativePrairie,NA,30,75,52.5,3.497191304,B,0.8859785
KNZ-N-EPSCOR-S120,EPSCoR,KNZ,Konza (EPSCoR),KNZ-N,NativePrairie,NA,75,120,97.5,0.220096344,B,0.38590725
KNZ-P-EPSCOR-S005,EPSCoR,KNZ,Konza (EPSCoR),KNZ-P,RegenPrairie,NA,0,5,2.5,5.409724826,A,2.1844525
KNZ-P-EPSCOR-S015,EPSCoR,KNZ,Konza (EPSCoR),KNZ-P,RegenPrairie,NA,5,15,10,15.5629543,A,1.73202
KNZ-P-EPSCOR-S030,EPSCoR,KNZ,Konza (EPSCoR),KNZ-P,RegenPrairie,NA,15,30,22.5,2.556517783,A,1.878915
KNZ-P-EPSCOR-S075,EPSCoR,KNZ,Konza (EPSCoR),KNZ-P,RegenPrairie,NA,30,75,52.5,1.211168488,B,1.3673425
KNZ-P-EPSCOR-S120,EPSCoR,KNZ,Konza (EPSCoR),KNZ-P,RegenPrairie,NA,75,120,97.5,0.134730619,B,0.779458667
KZL1-C-FRES-0-9,FRES,Konza,Konza (FRES),KZL1-C,TallgrassPrairie,Control,0,9,4.5,10.96740747,A,2.36382
KZL1-C-FRES-9-18,FRES,Konza,Konza (FRES),KZL1-C,TallgrassPrairie,Control,9,18,13.5,6.486610734,A,1.67135
KZL1-C-FRES-18-28,FRES,Konza,Konza (FRES),KZL1-C,TallgrassPrairie,Control,18,28,23,1.741889852,B,1.6994
KZL1-C-FRES-28-42+,FRES,Konza,Konza (FRES),KZL1-C,TallgrassPrairie,Control,28,42,35,0.875037975,B,1.47986
KZL1-S-FRES-0-6,FRES,Konza,Konza (FRES),KZL1-S,TallgrassPrairie,Slab,0,6,3,13.07302505,A,3.16471
KZL1-S-FRES-6-12,FRES,Konza,Konza (FRES),KZL1-S,TallgrassPrairie,Slab,6,17,9,6.546377936,A,1.68046
KZL1-S-FRES-12-17,FRES,Konza,Konza (FRES),KZL1-S,TallgrassPrairie,Slab,17,21,14.5,3.640476782,R,1.64441
KZL1-S-FRES-21-29,FRES,Konza,Konza (FRES),KZL1-S,TallgrassPrairie,Slab,21,29,25,1.396094461,B,1.48624
KZL1-S-FRES-29-37,FRES,Konza,Konza (FRES),KZL1-S,TallgrassPrairie,Slab,29,37,33,0.69483072,B,1.29893
KZL2-C-FRES-0-6,FRES,Konza,Konza (FRES),KZL2-C,TallgrassPrairie,Control,0,6,3,12.1104204,A,3.56297
KZL2-C-FRES-6-14,FRES,Konza,Konza (FRES),KZL2-C,TallgrassPrairie,Control,6,14,10,4.897536504,A,1.68716
KZL2-C-FRES-14-23,FRES,Konza,Konza (FRES),KZL2-C,TallgrassPrairie,Control,14,23,18.5,2.235520227,A,1.63533
KZL2-C-FRES-23-30,FRES,Konza,Konza (FRES),KZL2-C,TallgrassPrairie,Control,23,30,26.5,1.326290019,A,1.63295
KZL2-C-FRES-30-38+,FRES,Konza,Konza (FRES),KZL2-C,TallgrassPrairie,Control,30,38,34,3.292829981,A,1.68482
KZL2-S-FRES-0-5,FRES,Konza,Konza (FRES),KZL2-S,TallgrassPrairie,Slab,0,5,2.5,13.59542382,A,2.88412
KZL2-S-FRES-5-14,FRES,Konza,Konza (FRES),KZL2-S,TallgrassPrairie,Slab,5,14,9.5,6.803105752,A,1.77473
KZL2-S-FRES-14-21,FRES,Konza,Konza (FRES),KZL2-S,TallgrassPrairie,Slab,14,21,17.5,2.443064893,A,1.6385
KZL2-S-FRES-27-33,FRES,Konza,Konza (FRES),KZL2-S,TallgrassPrairie,Slab,21,33,27,1.054106331,A,1.81536
KZL2-S-FRES-33-39+,FRES,Konza,Konza (FRES),KZL2-S,TallgrassPrairie,Slab,33,39,36,0.560822583,B,1.59386
