SampleID,Project,Location,SiteID,ProfileID,CoverType,Position,MinDepth,MaxDepth,MidDepth,RootMass_mg_gsoil,Horizon,Soil_PercC
R8-H-M-130-140,FRES,Calhoun,Calhoun (FRES),R8-H-M,Hardwood,Midslope,130,140,135,0.936853723,C,0.189644
R8-H-M-140-150,FRES,Calhoun,Calhoun (FRES),R8-H-M,Hardwood,Midslope,140,150,145,NA,C,0.0900583
R8-H-M-150-175,FRES,Calhoun,Calhoun (FRES),R8-H-M,Hardwood,Midslope,150,175,162.5,NA,C,0.086585
R8-H-M-175-200,FRES,Calhoun,Calhoun (FRES),R8-H-M,Hardwood,Midslope,175,200,187.5,NA,C,0.0765601
R8-H-M-200-225,FRES,Calhoun,Calhoun (FRES),R8-H-M,Hardwood,Midslope,200,225,212.5,NA,C,0.0880361
R8-H-M-225-250,FRES,Calhoun,Calhoun (FRES),R8-H-M,Hardwood,Midslope,225,250,237.5,NA,C,0.0326454
R8-H-M-250-275,FRES,Calhoun,Calhoun (FRES),R8-H-M,Hardwood,Midslope,250,275,262.5,NA,C,0.0419816
R8-H-R-0-10,FRES,Calhoun,Calhoun (FRES),R8-H-R,Hardwood,Ridge,0,10,5,10.99065927,A,4.44973
R8-H-R-10-20,FRES,Calhoun,Calhoun (FRES),R8-H-R,Hardwood,Ridge,10,20,15,0.485046348,AB,0.416021
R8-H-R-20-30,FRES,Calhoun,Calhoun (FRES),R8-H-R,Hardwood,Ridge,20,30,25,0.225618342,B,0.310146
R8-H-R-30-40,FRES,Calhoun,Calhoun (FRES),R8-H-R,Hardwood,Ridge,30,40,35,0.369359876,B,0.294705
R8-H-R-40-50,FRES,Calhoun,Calhoun (FRES),R8-H-R,Hardwood,Ridge,40,50,45,0.202948824,B,0.229178
R8-H-R-50-60,FRES,Calhoun,Calhoun (FRES),R8-H-R,Hardwood,Ridge,50,60,55,0.243608207,B,0.342871
R8-H-R-60-70,FRES,Calhoun,Calhoun (FRES),R8-H-R,Hardwood,Ridge,60,70,65,0.9017529,B,0.187974
R8-H-R-70-80,FRES,Calhoun,Calhoun (FRES),R8-H-R,Hardwood,Ridge,70,80,75,1.107121484,B,0.114757
R8-H-R-80-90,FRES,Calhoun,Calhoun (FRES),R8-H-R,Hardwood,Ridge,80,90,85,0.976614058,B,0.1275225
R8-H-R-90-100,FRES,Calhoun,Calhoun (FRES),R8-H-R,Hardwood,Ridge,90,100,95,0,B,0.152027
R8-H-R-100-110,FRES,Calhoun,Calhoun (FRES),R8-H-R,Hardwood,Ridge,100,110,105,0.487517503,B,0.145035
R8-H-R-110-120,FRES,Calhoun,Calhoun (FRES),R8-H-R,Hardwood,Ridge,110,120,115,0.121062077,C,0.131205
R8-H-R-120-130,FRES,Calhoun,Calhoun (FRES),R8-H-R,Hardwood,Ridge,120,130,125,0.01963268,C,0.100192
R8-H-R-130-140,FRES,Calhoun,Calhoun (FRES),R8-H-R,Hardwood,Ridge,130,140,135,0.301854846,C,0.121846
R8-H-R-140-150,FRES,Calhoun,Calhoun (FRES),R8-H-R,Hardwood,Ridge,140,150,145,0.556716301,C,0.132919
R8-H-R-150-175,FRES,Calhoun,Calhoun (FRES),R8-H-R,Hardwood,Ridge,150,175,162.5,0.199034995,C,0.164137
R8-H-R-175-200,FRES,Calhoun,Calhoun (FRES),R8-H-R,Hardwood,Ridge,175,200,187.5,0.745371017,C,0.1238671
R8-H-R-200-225,FRES,Calhoun,Calhoun (FRES),R8-H-R,Hardwood,Ridge,200,225,212.5,NA,C,0.0568269
R8-H-R-225-250,FRES,Calhoun,Calhoun (FRES),R8-H-R,Hardwood,Ridge,225,250,237.5,NA,C,0.0536691
R8-H-R-250-275,FRES,Calhoun,Calhoun (FRES),R8-H-R,Hardwood,Ridge,250,275,262.5,NA,C,0.0534945
R8-P-M-0-10,FRES,Calhoun,Calhoun (FRES),R8-P-M,Pine,Midslope,0,10,5,5.368126627,A,3.0608
R8-P-M-10-20,FRES,Calhoun,Calhoun (FRES),R8-P-M,Pine,Midslope,10,20,15,0.331274417,B,0.846849
R8-P-M-20-30,FRES,Calhoun,Calhoun (FRES),R8-P-M,Pine,Midslope,20,30,25,1.068723404,B,0.519241
R8-P-M-30-40,FRES,Calhoun,Calhoun (FRES),R8-P-M,Pine,Midslope,30,40,35,6.453744745,B,0.3705365
R8-P-M-40-50,FRES,Calhoun,Calhoun (FRES),R8-P-M,Pine,Midslope,40,50,45,0.460037945,B,0.342691
R8-P-M-50-60,FRES,Calhoun,Calhoun (FRES),R8-P-M,Pine,Midslope,50,60,55,0.200638713,B,0.308132
R8-P-M-60-70,FRES,Calhoun,Calhoun (FRES),R8-P-M,Pine,Midslope,60,70,65,0.158615313,C,0.259643
R8-P-M-70-80,FRES,Calhoun,Calhoun (FRES),R8-P-M,Pine,Midslope,70,80,75,0.139522821,C,0.171754
R8-P-M-80-90,FRES,Calhoun,Calhoun (FRES),R8-P-M,Pine,Midslope,80,90,85,0.397404113,C,0.213165
R8-P-M-90-100,FRES,Calhoun,Calhoun (FRES),R8-P-M,Pine,Midslope,90,100,95,NA,C,0.136632
R8-P-M-100-110,FRES,Calhoun,Calhoun (FRES),R8-P-M,Pine,Midslope,100,110,105,NA,C,0.137157
R8-P-M-110-120,FRES,Calhoun,Calhoun (FRES),R8-P-M,Pine,Midslope,110,120,115,NA,C,0.113163
R8-P-M-120-130,FRES,Calhoun,Calhoun (FRES),R8-P-M,Pine,Midslope,120,130,125,NA,C,0.0884322
R8-P-M-130-140,FRES,Calhoun,Calhoun (FRES),R8-P-M,Pine,Midslope,130,140,135,NA,C,0.0846604
R8-P-M-140-150,FRES,Calhoun,Calhoun (FRES),R8-P-M,Pine,Midslope,140,150,145,NA,C,0.0746612
R8-P-M-150-175,FRES,Calhoun,Calhoun (FRES),R8-P-M,Pine,Midslope,150,175,162.5,NA,C,0.0899558
R8-P-M-175-200,FRES,Calhoun,Calhoun (FRES),R8-P-M,Pine,Midslope,175,200,187.5,NA,C,0.0593443
R8-P-M-200-225,FRES,Calhoun,Calhoun (FRES),R8-P-M,Pine,Midslope,200,225,212.5,NA,C,0.0589437
R8-P-R-0-10,FRES,Calhoun,Calhoun (FRES),R8-P-R,Pine,Ridge,0,10,5,4.219406625,A,11.1828
R8-P-R-10-20,FRES,Calhoun,Calhoun (FRES),R8-P-R,Pine,Ridge,10,20,15,0.226904594,B,0.681891
R8-P-R-20-30,FRES,Calhoun,Calhoun (FRES),R8-P-R,Pine,Ridge,20,30,25,0.070678316,B,0.476727
R8-P-R-30-40,FRES,Calhoun,Calhoun (FRES),R8-P-R,Pine,Ridge,30,40,35,0.703806135,B,0.275882
R8-P-R-40-50,FRES,Calhoun,Calhoun (FRES),R8-P-R,Pine,Ridge,40,50,45,0.068153729,B,0.258716
R8-P-R-50-60,FRES,Calhoun,Calhoun (FRES),R8-P-R,Pine,Ridge,50,60,55,0.020337287,B,0.275284
R8-P-R-60-70,FRES,Calhoun,Calhoun (FRES),R8-P-R,Pine,Ridge,60,70,65,0.279343714,B,0.167411
R8-P-R-70-80,FRES,Calhoun,Calhoun (FRES),R8-P-R,Pine,Ridge,70,80,75,0.132961244,B,0.190851
R8-P-R-80-90,FRES,Calhoun,Calhoun (FRES),R8-P-R,Pine,Ridge,80,90,85,0.057301087,B,0.147059
R8-P-R-90-100,FRES,Calhoun,Calhoun (FRES),R8-P-R,Pine,Ridge,90,100,95,0.05923598,B,0.146781
R8-P-R-100-110,FRES,Calhoun,Calhoun (FRES),R8-P-R,Pine,Ridge,100,110,105,0,B,0.131402
R8-P-R-110-120,FRES,Calhoun,Calhoun (FRES),R8-P-R,Pine,Ridge,110,120,115,0.036162771,B,0.092014
R8-P-R-120-130,FRES,Calhoun,Calhoun (FRES),R8-P-R,Pine,Ridge,120,130,125,0.03722836,B,0.11452595
R8-P-R-130-140,FRES,Calhoun,Calhoun (FRES),R8-P-R,Pine,Ridge,130,140,135,0.039358219,B,0.137101
R8-P-R-140-150,FRES,Calhoun,Calhoun (FRES),R8-P-R,Pine,Ridge,140,150,145,0,B,0.125639
R8-P-R-150-175,FRES,Calhoun,Calhoun (FRES),R8-P-R,Pine,Ridge,150,175,162.5,0,B,0.1338055
R8-P-R-175-200,FRES,Calhoun,Calhoun (FRES),R8-P-R,Pine,Ridge,175,200,187.5,0.060061497,BC,0.083348
R8-P-R-200-225,FRES,Calhoun,Calhoun (FRES),R8-P-R,Pine,Ridge,200,225,212.5,NA,C,0.0947397
