SampleID,SampleNumber,Project,Location,SiteID,ProfileID,NatBiome,CoverType,Position,Lithology,SoilFormation,MinDepth,MaxDepth,MidDepth,Horizon_Full,Horizon,Extractant,ppm_NH4.N,ugNH4.N_gDrySoil,ppm_NO3.N,ugNO3.N_gDrySoil,ppm_PO4.P,ugPO4.P_gDrySoil,RootMass_mg_gsoil,pH,STL_SoilP_ExtractionMethod,STL_SoilP_ppm,STL_ugP_gDrySoil,Soil_PercC,Soil_MgCg,SoilPO4.P_ug_g,MAP,DomVeg,P_Efficiency
CC1-FRES-59-100,272,FRES,Coal Creek ,Coal Creek (FRES),CC1,Alpine Forest,Aspen,Midslope,Sandstone,Colluvium/Residuum,59,100,79.5,Bt2,B,Malic Acid,0.1356,0.711766188,0,0,0.132493,0.695457504,1.509379852,6.54,Mehlich-3,10,100,1.29596,12.9596,0,600,Deciduous woody spp,0.006954575
CC1-FRES-59-100,53,FRES,Coal Creek ,Coal Creek (FRES),CC1,Alpine Forest,Aspen,Midslope,Sandstone,Colluvium/Residuum,59,100,79.5,Bt2,B,Oxalic Acid,0.1756,0.925398933,0,0,1.388726919,7.318487526,1.509379852,6.54,Mehlich-3,10,100,1.29596,12.9596,0,600,Deciduous woody spp,0.073184875
CC2-FRES-0-5,54,FRES,Coal Creek ,Coal Creek (FRES),CC2,Alpine Forest,Spruce,Toeslope,Sandstone,Colluvium/Residuum,0,5,2.5,Oe,O,Oxalic Acid,1.5166,9.934057405,0,0,5.758017493,37.71625762,18.08711354,5.1,Mehlich-3,43,430,10.275,102.75,8.5783,600,Evergreen woody spp,0.087712227
CC2-FRES-0-5,273,FRES,Coal Creek ,Coal Creek (FRES),CC2,Alpine Forest,Spruce,Toeslope,Sandstone,Colluvium/Residuum,0,5,2.5,Oe,O,Malic Acid,2.1782,14.46985384,0,0,3.875865251,25.74749962,18.08711354,5.1,Mehlich-3,43,430,10.275,102.75,8.5783,600,Evergreen woody spp,0.059877906
CC2-FRES-0-5,492,FRES,Coal Creek ,Coal Creek (FRES),CC2,Alpine Forest,Spruce,Toeslope,Sandstone,Colluvium,0,5,2.5,Oe,O,Apase,1.3647,9.029191302,0,0,2.844882777,18.8224451,18.08711354,5.1,Mehlich-3,43,430,10.275,102.75,8.5783,600,Evergreen woody spp,0.043773128
CC2-FRES-21-61.5,56,FRES,Coal Creek ,Coal Creek (FRES),CC2,Alpine Forest,Spruce,Toeslope,Sandstone,Colluvium/Residuum,21,61.5,41.25,B/Ct,B,Oxalic Acid,0.1907,1.050329059,0,0,3.252672498,17.91492629,1.256647702,5.81,Mehlich-3,6,60,0.585858,5.85858,0,600,Evergreen woody spp,0.298582105
CC2-FRES-21-61.5,275,FRES,Coal Creek ,Coal Creek (FRES),CC2,Alpine Forest,Spruce,Toeslope,Sandstone,Colluvium/Residuum,21,61.5,41.25,B/Ct,B,Malic Acid,0.1163,0.636724016,0,0,0.259832,1.422538905,1.256647702,5.81,Mehlich-3,6,60,0.585858,5.85858,0,600,Evergreen woody spp,0.023708982
CC2-FRES-21-61.5,494,FRES,Coal Creek ,Coal Creek (FRES),CC2,Alpine Forest,Spruce,Toeslope,Sandstone,Colluvium,21,61.5,41.25,B/Ct,B,Apase,0.0747,0.405737658,0,0,0.0435,0.236272934,1.256647702,5.81,Mehlich-3,6,60,0.585858,5.85858,0,600,Evergreen woody spp,0.003937882
CC2-FRES-5-21,55,FRES,Coal Creek ,Coal Creek (FRES),CC2,Alpine Forest,Spruce,Toeslope,Sandstone,Colluvium/Residuum,5,21,13,A,A,Oxalic Acid,0.4143,2.365453485,NA,NA,2.018464529,11.52446043,7.170889603,NA,Mehlich-3,15,150,3.22972,32.2972,0.3086,600,Evergreen woody spp,0.076829736
CC2-FRES-5-21,274,FRES,Coal Creek ,Coal Creek (FRES),CC2,Alpine Forest,Spruce,Toeslope,Sandstone,Colluvium/Residuum,5,21,13,A,A,Malic Acid,0.444,2.586238833,0,0,0.732348869,4.265831271,7.170889603,NA,Mehlich-3,15,150,3.22972,32.2972,0.3086,600,Evergreen woody spp,0.028438875
